,Name,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
0,Matthew Stafford,QB,4,98,140,70.0,"1,188",8.5,297.0,70,9,3,7,42,71.4,108.3
1,Joe Burrow,QB,4,97,142,68.3,"1,105",7.8,276.3,75,5,2,19,137,51.0,97.3
2,Patrick Mahomes,QB,3,89,122,73.0,"1,057",8.7,352.3,64,11,3,9,81,82.6,118.8
3,Josh Allen,QB,2,48,62,77.4,637,10.3,318.5,75,9,0,2,16,95.5,149.0
4,Tom Brady,QB,2,59,91,64.8,600,6.6,300.0,55,3,1,7,49,30.4,90.0
5,Jimmy Garoppolo,QB,3,43,74,58.1,535,7.2,178.3,44,2,3,4,25,57.8,72.7
6,Derek Carr,QB,1,29,54,53.7,310,5.7,310.0,26,1,1,3,28,46.4,69.2
7,Jalen Hurts,QB,1,23,43,53.5,258,6.0,258.0,35,1,2,2,14,24.0,60.0
8,Dak Prescott,QB,1,23,43,53.5,254,5.9,254.0,38,1,1,5,40,32.4,69.3
9,Mac Jones,QB,1,24,38,63.2,232,6.1,232.0,43,2,2,3,16,60.0,75.8
10,Aaron Rodgers,QB,1,20,29,69.0,225,7.8,225.0,75,0,0,5,29,22.6,91.9
11,Ryan Tannehill,QB,1,15,24,62.5,220,9.2,220.0,41,1,3,1,7,12.8,66.7
12,Ben Roethlisberger,QB,1,29,44,65.9,215,4.9,215.0,22,2,0,2,14,15.7,92.5
13,Kyler Murray,QB,1,19,34,55.9,137,4.0,137.0,23,0,2,2,15,9.9,40.9
14,Odell Beckham Jr.,WR,4,1,1,100.0,40,40.0,10.0,40,0,0,0,0,100.0,118.8
15,Bryan Anger,P,1,1,1,100.0,16,16.0,16.0,16,0,0,0,0,,118.8
16,Joe Mixon,RB,4,1,1,100.0,6,6.0,1.5,6,1,0,0,0,100.0,131.3
17,Travis Kelce,TE,3,1,1,100.0,2,2.0,0.7,2,1,0,0,0,85.2,118.8
18,Cooper Kupp,WR,4,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0.2,39.6
