,Name,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
0,Joe Mixon,RB,4,67,262,3.9,23,1,1,65.5,0,0,12
1,Cam Akers,RB,4,67,172,2.6,15,0,0,43.0,2,2,6
2,Elijah Mitchell,RB,3,55,169,3.1,16,0,1,56.3,0,0,8
3,Jerick McKinnon,RB,3,34,150,4.4,15,0,0,50.0,1,0,6
4,Deebo Samuel,WR,3,27,137,5.1,26,1,1,45.7,0,0,4
5,Josh Allen,QB,2,17,134,7.9,26,1,0,67.0,0,0,10
6,Patrick Mahomes,QB,3,13,117,9.0,34,2,1,39.0,0,0,5
7,Devin Singletary,RB,2,26,107,4.1,16,0,3,53.5,0,0,11
8,Clyde Edwards-Helaire,RB,2,13,96,7.4,22,2,0,48.0,0,0,4
9,Josh Jacobs,RB,1,13,83,6.4,35,1,0,83.0,0,0,3
10,Sony Michel,RB,4,26,80,3.1,35,1,0,20.0,0,0,3
11,D'Onta Foreman,RB,1,4,66,16.5,45,1,0,66.0,0,0,2
12,Derrick Henry,RB,1,20,62,3.1,9,0,1,62.0,0,0,5
13,Mecole Hardman Jr.,WR,3,6,55,9.2,25,1,1,18.3,1,0,2
14,Ke'Shawn Vaughn,RB,2,17,53,3.1,17,0,1,26.5,0,0,5
15,Leonard Fournette,RB,1,13,51,3.9,11,0,2,51.0,0,0,5
16,Giovani Bernard,RB,2,13,44,3.4,8,0,1,22.0,0,0,2
17,Isaiah McKenzie,WR,2,6,44,7.3,15,0,0,22.0,0,0,2
18,Matthew Stafford,QB,4,18,42,2.3,14,0,2,10.5,0,0,5
19,Aaron Jones,RB,1,12,41,3.4,14,0,0,41.0,0,0,3
20,Jalen Hurts,QB,1,8,39,4.9,11,0,0,39.0,0,0,1
21,Boston Scott,RB,1,1,34,34.0,34,1,1,34.0,0,0,1
22,Ja'Marr Chase,WR,4,6,32,5.3,15,0,0,8.0,0,0,3
23,Ezekiel Elliott,RB,1,12,31,2.6,9,0,0,31.0,0,0,4
24,Joe Burrow,QB,4,11,31,2.8,11,0,0,7.8,0,0,6
25,Damien Harris,RB,1,9,30,3.3,14,0,0,30.0,0,0,1
26,Najee Harris,RB,1,12,29,2.4,8,0,0,29.0,0,0,0
27,Chase Edmonds,RB,1,8,28,3.5,10,0,0,28.0,0,0,2
28,Dak Prescott,QB,1,4,27,6.8,17,0,1,27.0,0,0,2
29,Rhamondre Stevenson,RB,1,8,27,3.4,8,0,0,27.0,0,0,2
30,AJ Dillon,RB,1,7,25,3.6,6,0,1,25.0,0,0,2
31,Derek Carr,QB,1,1,20,20.0,20,1,0,20.0,0,0,1
32,James Conner,RB,1,4,19,4.8,11,0,1,19.0,0,0,3
33,Mac Jones,QB,1,2,18,9.0,16,0,0,18.0,0,0,1
34,Miles Sanders,RB,1,7,16,2.3,14,0,0,16.0,0,0,1
35,Van Jefferson,WR,4,1,15,15.0,15,0,0,3.8,0,0,1
36,Benny Snell Jr.,RB,1,2,15,7.5,8,0,0,15.0,0,0,1
37,Kyle Juszczyk,FB,3,3,14,4.7,13,0,0,4.7,0,0,1
38,Kendrick Bourne,WR,1,1,14,14.0,14,0,0,14.0,0,0,1
39,Tony Pollard,RB,1,4,14,3.5,8,0,0,14.0,0,0,0
40,Kalen Ballage,RB,1,4,13,3.3,5,0,0,13.0,0,0,2
41,Chris Evans,RB,4,2,13,6.5,9,0,0,3.3,0,0,0
42,Ryan Tannehill,QB,1,3,12,4.0,8,0,0,12.0,0,0,0
43,Scott Miller,WR,2,1,9,9.0,9,0,0,4.5,0,0,1
44,Eno Benjamin,RB,1,4,8,2.0,5,0,0,8.0,0,0,0
45,Darrell Henderson Jr.,RB,1,4,7,1.8,5,0,0,7.0,0,0,0
46,Kyler Murray,QB,1,2,6,3.0,7,0,0,6.0,0,0,1
47,Kenneth Gainwell,RB,1,1,6,6.0,6,0,0,6.0,0,0,0
48,Jimmy Garoppolo,QB,3,2,5,2.5,4,0,0,1.7,0,0,0
49,Cooper Kupp,WR,4,2,5,2.5,7,0,0,1.3,0,0,1
50,Jake Funk,RB,3,2,5,2.5,8,0,0,1.7,0,0,0
51,CeeDee Lamb,WR,1,1,5,5.0,5,0,0,5.0,0,0,1
52,Michael Burton,FB,3,2,4,2.0,3,0,0,1.3,0,0,2
53,Darrel Williams,RB,2,1,4,4.0,4,0,0,2.0,1,1,0
54,Tyler Boyd,WR,4,1,3,3.0,3,0,0,0.8,0,0,0
55,Derrick Gore,RB,2,3,3,1.0,5,0,0,1.5,0,0,0
56,Samaje Perine,RB,4,3,2,0.7,2,0,0,0.5,0,0,0
57,Equanimeous St. Brown,WR,1,1,1,1.0,1,0,0,1.0,0,0,0
58,Tom Brady,QB,2,1,0,0.0,0,0,0,0.0,0,0,0
59,Zack Moss,RB,1,1,0,0.0,0,0,0,0.0,0,0,0
60,Ben Roethlisberger,QB,1,2,-1,-0.5,0,0,0,-1.0,1,0,0
61,Mitch Trubisky,QB,1,3,-2,-0.7,0,0,0,-2.0,0,0,0
62,Tyreek Hill,WR,3,1,-2,-2.0,-2,0,0,-0.7,0,0,0
